Ref_Date,GEO,AGE,SEX,MHWBPROF,UNIT,Value
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable manic episode (mania),"High 95% confidence interval, percent",100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable manic episode (mania),Coefficient of variation for percent,0
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), all measured criteria are met",Number of persons,239350
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), all measured criteria are met","Low 95% confidence interval, number of persons",208810
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), all measured criteria are met","High 95% confidence interval, number of persons",269891
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), all measured criteria are met",Coefficient of variation for number of persons,6.5
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), all measured criteria are met",Percent,1
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), all measured criteria are met","Low 95% confidence interval, percent",0.8
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), all measured criteria are met","High 95% confidence interval, percent",1.1
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), all measured criteria are met",Coefficient of variation for percent,6.5
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), measured criteria not met",Number of persons,24664815
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), measured criteria not met","Low 95% confidence interval, number of persons",24627184
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), measured criteria not met","High 95% confidence interval, number of persons",24702446
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), measured criteria not met",Coefficient of variation for number of persons,0.1
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), measured criteria not met",Percent,98.7
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), measured criteria not met","Low 95% confidence interval, percent",98.5
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), measured criteria not met","High 95% confidence interval, percent",98.8
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), measured criteria not met",Coefficient of variation for percent,0.1
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), not stated",Number of persons,92428
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), not stated","Low 95% confidence interval, number of persons",72579
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), not stated","High 95% confidence interval, number of persons",112276
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), not stated",Coefficient of variation for number of persons,11
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), not stated",Percent,0.4
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), not stated","Low 95% confidence interval, percent",0.3
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), not stated","High 95% confidence interval, percent",0.4
2002,Canada,"Total, 15 years and over",Both sexes,"Manic episode (mania), not stated",Coefficient of variation for percent,11
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable panic disorder,Number of persons,24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable panic disorder,"Low 95% confidence interval, number of persons",24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable panic disorder,"High 95% confidence interval, number of persons",24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable panic disorder,Coefficient of variation for number of persons,0
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable panic disorder,Percent,100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable panic disorder,"Low 95% confidence interval, percent",100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable panic disorder,"High 95% confidence interval, percent",100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable panic disorder,Coefficient of variation for percent,0
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, all measured criteria are met",Number of persons,375973
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, all measured criteria are met","Low 95% confidence interval, number of persons",334567
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, all measured criteria are met","High 95% confidence interval, number of persons",417379
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, all measured criteria are met",Coefficient of variation for number of persons,5.6
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, all measured criteria are met",Percent,1.5
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, all measured criteria are met","Low 95% confidence interval, percent",1.3
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, all measured criteria are met","High 95% confidence interval, percent",1.7
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, all measured criteria are met",Coefficient of variation for percent,5.6
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, measured criteria not met",Number of persons,24150225
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, measured criteria not met","Low 95% confidence interval, number of persons",24088646
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, measured criteria not met","High 95% confidence interval, number of persons",24211803
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, measured criteria not met",Coefficient of variation for number of persons,0.1
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, measured criteria not met",Percent,96.6
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, measured criteria not met","Low 95% confidence interval, percent",96.4
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, measured criteria not met","High 95% confidence interval, percent",96.9
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, measured criteria not met",Coefficient of variation for percent,0.1
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, not stated",Number of persons,470395
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, not stated","Low 95% confidence interval, number of persons",422086
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, not stated","High 95% confidence interval, number of persons",518704
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, not stated",Coefficient of variation for number of persons,5.2
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, not stated",Percent,1.9
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, not stated","Low 95% confidence interval, percent",1.7
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, not stated","High 95% confidence interval, percent",2.1
2002,Canada,"Total, 15 years and over",Both sexes,"Panic disorder, not stated",Coefficient of variation for percent,5.2
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable social phobia (social anxiety disorder),Number of persons,24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable social phobia (social anxiety disorder),"Low 95% confidence interval, number of persons",24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable social phobia (social anxiety disorder),"High 95% confidence interval, number of persons",24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable social phobia (social anxiety disorder),Coefficient of variation for number of persons,0
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable social phobia (social anxiety disorder),Percent,100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable social phobia (social anxiety disorder),"Low 95% confidence interval, percent",100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable social phobia (social anxiety disorder),"High 95% confidence interval, percent",100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable social phobia (social anxiety disorder),Coefficient of variation for percent,0
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), all measured criteria are met",Number of persons,746103
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), all measured criteria are met","Low 95% confidence interval, number of persons",684335
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), all measured criteria are met","High 95% confidence interval, number of persons",807870
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), all measured criteria are met",Coefficient of variation for number of persons,4.2
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), all measured criteria are met",Percent,3
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), all measured criteria are met","Low 95% confidence interval, percent",2.7
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), all measured criteria are met","High 95% confidence interval, percent",3.2
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), all measured criteria are met",Coefficient of variation for percent,4.2
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), measured criteria not met",Number of persons,24060988
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), measured criteria not met","Low 95% confidence interval, number of persons",23991033
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), measured criteria not met","High 95% confidence interval, number of persons",24130943
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), measured criteria not met",Coefficient of variation for number of persons,0.1
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), measured criteria not met",Percent,96.3
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), measured criteria not met","Low 95% confidence interval, percent",96
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), measured criteria not met","High 95% confidence interval, percent",96.5
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), measured criteria not met",Coefficient of variation for percent,0.1
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), not stated",Number of persons,189501
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), not stated","Low 95% confidence interval, number of persons",157438
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), not stated","High 95% confidence interval, number of persons",221565
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), not stated",Coefficient of variation for number of persons,8.6
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), not stated",Percent,0.8
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), not stated","Low 95% confidence interval, percent",0.6
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), not stated","High 95% confidence interval, percent",0.9
2002,Canada,"Total, 15 years and over",Both sexes,"Social phobia (social anxiety disorder), not stated",Coefficient of variation for percent,8.6
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable agoraphobia,Number of persons,24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable agoraphobia,"Low 95% confidence interval, number of persons",24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable agoraphobia,"High 95% confidence interval, number of persons",24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable agoraphobia,Coefficient of variation for number of persons,0
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable agoraphobia,Percent,100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable agoraphobia,"Low 95% confidence interval, percent",100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable agoraphobia,"High 95% confidence interval, percent",100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable agoraphobia,Coefficient of variation for percent,0
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, all measured criteria are met",Number of persons,183448
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, all measured criteria are met","Low 95% confidence interval, number of persons",151794
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, all measured criteria are met","High 95% confidence interval, number of persons",215101
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, all measured criteria are met",Coefficient of variation for number of persons,8.8
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, all measured criteria are met",Percent,0.7
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, all measured criteria are met","Low 95% confidence interval, percent",0.6
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, all measured criteria are met","High 95% confidence interval, percent",0.9
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, all measured criteria are met",Coefficient of variation for percent,8.8
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, measured criteria not met",Number of persons,24728533
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, measured criteria not met","Low 95% confidence interval, number of persons",24691554
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, measured criteria not met","High 95% confidence interval, number of persons",24765512
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, measured criteria not met",Coefficient of variation for number of persons,0.1
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, measured criteria not met",Percent,98.9
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, measured criteria not met","Low 95% confidence interval, percent",98.8
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, measured criteria not met","High 95% confidence interval, percent",99.1
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, measured criteria not met",Coefficient of variation for percent,0.1
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, not stated",Number of persons,84612
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, not stated","Low 95% confidence interval, number of persons",65167
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, not stated","High 95% confidence interval, number of persons",104057
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, not stated",Coefficient of variation for number of persons,11.7
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, not stated",Percent,0.3
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, not stated","Low 95% confidence interval, percent",0.3
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, not stated","High 95% confidence interval, percent",0.4
2002,Canada,"Total, 15 years and over",Both sexes,"Agoraphobia, not stated",Coefficient of variation for percent,11.7
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable any measured disorder or substance dependence,Number of persons,24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable any measured disorder or substance dependence,"Low 95% confidence interval, number of persons",24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable any measured disorder or substance dependence,"High 95% confidence interval, number of persons",24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable any measured disorder or substance dependence,Coefficient of variation for number of persons,0
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable any measured disorder or substance dependence,Percent,100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable any measured disorder or substance dependence,"Low 95% confidence interval, percent",100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable any measured disorder or substance dependence,"High 95% confidence interval, percent",100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable any measured disorder or substance dependence,Coefficient of variation for percent,0
2002,Canada,"Total, 15 years and over",Both sexes,Had at least one measured disorder or substance dependence,Number of persons,2658581
2002,Canada,"Total, 15 years and over",Both sexes,Had at least one measured disorder or substance dependence,"Low 95% confidence interval, number of persons",2547090
2002,Canada,"Total, 15 years and over",Both sexes,Had at least one measured disorder or substance dependence,"High 95% confidence interval, number of persons",2770071
2002,Canada,"Total, 15 years and over",Both sexes,Had at least one measured disorder or substance dependence,Coefficient of variation for number of persons,2.1
2002,Canada,"Total, 15 years and over",Both sexes,Had at least one measured disorder or substance dependence,Percent,10.6
2002,Canada,"Total, 15 years and over",Both sexes,Had at least one measured disorder or substance dependence,"Low 95% confidence interval, percent",10.2
2002,Canada,"Total, 15 years and over",Both sexes,Had at least one measured disorder or substance dependence,"High 95% confidence interval, percent",11.1
2002,Canada,"Total, 15 years and over",Both sexes,Had at least one measured disorder or substance dependence,Coefficient of variation for percent,2.1
2002,Canada,"Total, 15 years and over",Both sexes,Did not have a measured disorder or substance dependence,Number of persons,21539344
2002,Canada,"Total, 15 years and over",Both sexes,Did not have a measured disorder or substance dependence,"Low 95% confidence interval, number of persons",21414759
2002,Canada,"Total, 15 years and over",Both sexes,Did not have a measured disorder or substance dependence,"High 95% confidence interval, number of persons",21663928
2002,Canada,"Total, 15 years and over",Both sexes,Did not have a measured disorder or substance dependence,Coefficient of variation for number of persons,0.3
2002,Canada,"Total, 15 years and over",Both sexes,Did not have a measured disorder or substance dependence,Percent,86.2
2002,Canada,"Total, 15 years and over",Both sexes,Did not have a measured disorder or substance dependence,"Low 95% confidence interval, percent",85.7
2002,Canada,"Total, 15 years and over",Both sexes,Did not have a measured disorder or substance dependence,"High 95% confidence interval, percent",86.7
2002,Canada,"Total, 15 years and over",Both sexes,Did not have a measured disorder or substance dependence,Coefficient of variation for percent,0.3
2002,Canada,"Total, 15 years and over",Both sexes,"Any measured disorder or substance dependence, not stated",Number of persons,798669
2002,Canada,"Total, 15 years and over",Both sexes,"Any measured disorder or substance dependence, not stated","Low 95% confidence interval, number of persons",735718
2002,Canada,"Total, 15 years and over",Both sexes,"Any measured disorder or substance dependence, not stated","High 95% confidence interval, number of persons",861619
2002,Canada,"Total, 15 years and over",Both sexes,"Any measured disorder or substance dependence, not stated",Coefficient of variation for number of persons,4
2002,Canada,"Total, 15 years and over",Both sexes,"Any measured disorder or substance dependence, not stated",Percent,3.2
2002,Canada,"Total, 15 years and over",Both sexes,"Any measured disorder or substance dependence, not stated","Low 95% confidence interval, percent",2.9
2002,Canada,"Total, 15 years and over",Both sexes,"Any measured disorder or substance dependence, not stated","High 95% confidence interval, percent",3.4
2002,Canada,"Total, 15 years and over",Both sexes,"Any measured disorder or substance dependence, not stated",Coefficient of variation for percent,4
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable suicidal thoughts,Number of persons,24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable suicidal thoughts,"Low 95% confidence interval, number of persons",24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable suicidal thoughts,"High 95% confidence interval, number of persons",24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable suicidal thoughts,Coefficient of variation for number of persons,0
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable suicidal thoughts,Percent,100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable suicidal thoughts,"Low 95% confidence interval, percent",100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable suicidal thoughts,"High 95% confidence interval, percent",100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable suicidal thoughts,Coefficient of variation for percent,0
2002,Canada,"Total, 15 years and over",Both sexes,Suicidal thoughts in past 12 months,Number of persons,919795
2002,Canada,"Total, 15 years and over",Both sexes,Suicidal thoughts in past 12 months,"Low 95% confidence interval, number of persons",839926
2002,Canada,"Total, 15 years and over",Both sexes,Suicidal thoughts in past 12 months,"High 95% confidence interval, number of persons",999665
2002,Canada,"Total, 15 years and over",Both sexes,Suicidal thoughts in past 12 months,Coefficient of variation for number of persons,4.4
2002,Canada,"Total, 15 years and over",Both sexes,Suicidal thoughts in past 12 months,Percent,3.7
2002,Canada,"Total, 15 years and over",Both sexes,Suicidal thoughts in past 12 months,"Low 95% confidence interval, percent",3.4
2002,Canada,"Total, 15 years and over",Both sexes,Suicidal thoughts in past 12 months,"High 95% confidence interval, percent",4
2002,Canada,"Total, 15 years and over",Both sexes,Suicidal thoughts in past 12 months,Coefficient of variation for percent,4.4
2002,Canada,"Total, 15 years and over",Both sexes,No suicidal thoughts in past 12 months,Number of persons,24040237
2002,Canada,"Total, 15 years and over",Both sexes,No suicidal thoughts in past 12 months,"Low 95% confidence interval, number of persons",23959407
2002,Canada,"Total, 15 years and over",Both sexes,No suicidal thoughts in past 12 months,"High 95% confidence interval, number of persons",24121068
2002,Canada,"Total, 15 years and over",Both sexes,No suicidal thoughts in past 12 months,Coefficient of variation for number of persons,0.2
2002,Canada,"Total, 15 years and over",Both sexes,No suicidal thoughts in past 12 months,Percent,96.2
2002,Canada,"Total, 15 years and over",Both sexes,No suicidal thoughts in past 12 months,"Low 95% confidence interval, percent",95.9
2002,Canada,"Total, 15 years and over",Both sexes,No suicidal thoughts in past 12 months,"High 95% confidence interval, percent",96.5
2002,Canada,"Total, 15 years and over",Both sexes,No suicidal thoughts in past 12 months,Coefficient of variation for percent,0.2
2002,Canada,"Total, 15 years and over",Both sexes,"Suicidal thoughts, not stated",Number of persons,36560
2002,Canada,"Total, 15 years and over",Both sexes,"Suicidal thoughts, not stated","Low 95% confidence interval, number of persons",24018
2002,Canada,"Total, 15 years and over",Both sexes,"Suicidal thoughts, not stated","High 95% confidence interval, number of persons",49102
2002,Canada,"Total, 15 years and over",Both sexes,"Suicidal thoughts, not stated",Coefficient of variation for number of persons,17.5
2002,Canada,"Total, 15 years and over",Both sexes,"Suicidal thoughts, not stated",Percent,0.1
2002,Canada,"Total, 15 years and over",Both sexes,"Suicidal thoughts, not stated","Low 95% confidence interval, percent",0.1
2002,Canada,"Total, 15 years and over",Both sexes,"Suicidal thoughts, not stated","High 95% confidence interval, percent",0.2
2002,Canada,"Total, 15 years and over",Both sexes,"Suicidal thoughts, not stated",Coefficient of variation for percent,17.5
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable risk of gambling problem,Number of persons,24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable risk of gambling problem,"Low 95% confidence interval, number of persons",24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable risk of gambling problem,"High 95% confidence interval, number of persons",24996593
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable risk of gambling problem,Coefficient of variation for number of persons,0
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable risk of gambling problem,Percent,100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable risk of gambling problem,"Low 95% confidence interval, percent",100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable risk of gambling problem,"High 95% confidence interval, percent",100
2002,Canada,"Total, 15 years and over",Both sexes,Total population for the variable risk of gambling problem,Coefficient of variation for percent,0
2002,Canada,"Total, 15 years and over",Both sexes,Persons who do not consider themselves a gambler,Number of persons,6057455
2002,Canada,"Total, 15 years and over",Both sexes,Persons who do not consider themselves a gambler,"Low 95% confidence interval, number of persons",5863932
2002,Canada,"Total, 15 years and over",Both sexes,Persons who do not consider themselves a gambler,"High 95% confidence interval, number of persons",6250978
2002,Canada,"Total, 15 years and over",Both sexes,Persons who do not consider themselves a gambler,Coefficient of variation for number of persons,1.6
2002,Canada,"Total, 15 years and over",Both sexes,Persons who do not consider themselves a gambler,Percent,24.2
2002,Canada,"Total, 15 years and over",Both sexes,Persons who do not consider themselves a gambler,"Low 95% confidence interval, percent",23.5
2002,Canada,"Total, 15 years and over",Both sexes,Persons who do not consider themselves a gambler,"High 95% confidence interval, percent",25
2002,Canada,"Total, 15 years and over",Both sexes,Persons who do not consider themselves a gambler,Coefficient of variation for percent,1.6
2002,Canada,"Total, 15 years and over",Both sexes,Non-gambler,Number of persons,6035359
2002,Canada,"Total, 15 years and over",Both sexes,Non-gambler,"Low 95% confidence interval, number of persons",5874592
2002,Canada,"Total, 15 years and over",Both sexes,Non-gambler,"High 95% confidence interval, number of persons",6196127
2002,Canada,"Total, 15 years and over",Both sexes,Non-gambler,Coefficient of variation for number of persons,1.4
2002,Canada,"Total, 15 years and over",Both sexes,Non-gambler,Percent,24.1
2002,Canada,"Total, 15 years and over",Both sexes,Non-gambler,"Low 95% confidence interval, percent",23.5
2002,Canada,"Total, 15 years and over",Both sexes,Non-gambler,"High 95% confidence interval, percent",24.8
2002,Canada,"Total, 15 years and over",Both sexes,Non-gambler,Coefficient of variation for percent,1.4
2002,Canada,"Total, 15 years and over",Both sexes,Non-problem gambler,Number of persons,11641749
